aX,aY,aZ,gX,gY,gZ
-8.523,-5.239,28.486,-1.210,0.078,0.791
-8.629,-5.899,30.133,-1.084,0.088,0.855
-8.705,-6.598,31.445,-0.875,0.119,0.898
-8.815,-7.207,32.188,-0.634,0.153,0.912
-8.959,-7.724,32.494,-0.379,0.149,0.875
-9.294,-8.260,32.456,-0.133,0.129,0.824
-9.811,-8.768,32.202,0.109,-0.041,0.724
-10.175,-9.294,31.900,0.383,-0.266,0.612
-10.621,-10.027,31.436,0.702,-0.494,0.496
-11.339,-10.942,30.627,1.147,-0.755,0.397
-12.100,-11.736,29.717,1.591,-0.983,0.378
-12.823,-12.455,28.534,2.083,-1.220,0.444
-13.317,-12.977,27.021,2.613,-1.489,0.594
-12.986,-13.053,25.110,3.117,-1.755,0.797
-11.727,-12.742,22.520,3.635,-1.948,1.035
-10.467,-12.263,20.083,3.994,-2.016,1.195
-9.175,-11.751,17.703,4.270,-2.028,1.300
-7.982,-11.109,15.366,4.366,-1.959,1.357
-6.948,-10.348,13.063,4.366,-1.823,1.376
-6.177,-9.534,10.774,4.366,-1.641,1.374
-5.598,-8.653,8.303,4.366,-1.439,1.365
-5.109,-7.997,6.503,4.366,-1.286,1.377
-4.520,-7.365,5.009,4.362,-1.160,1.393
-3.864,-6.709,3.730,4.228,-1.072,1.393
-3.184,-6.129,2.658,4.091,-1.006,1.374
-2.552,-5.631,1.805,3.963,-0.934,1.340
-2.102,-5.239,1.097,3.841,-0.856,1.297
-1.695,-4.966,0.407,3.721,-0.791,1.258
-1.341,-4.487,-0.211,3.698,-0.731,1.236
-1.001,-3.946,-0.871,3.517,-0.726,1.177
-0.450,-3.577,-1.341,3.288,-0.704,1.102
-0.038,-3.242,-1.733,3.065,-0.635,1.011
0.192,-2.868,-2.121,2.843,-0.616,0.884
0.345,-2.586,-2.294,2.616,-0.599,0.742
0.340,-2.456,-2.298,2.405,-0.574,0.606
0.297,-2.456,-2.236,2.236,-0.556,0.472
0.144,-2.485,-2.193,2.105,-0.548,0.341
-0.172,-2.490,-2.174,2.009,-0.583,0.216
-0.527,-2.519,-2.069,1.941,-0.635,0.104
-0.924,-2.509,-1.944,1.896,-0.701,0.015
-1.331,-2.447,-1.939,1.866,-0.758,-0.044
-1.638,-2.270,-2.083,1.823,-0.822,-0.071
-1.709,-1.987,-2.255,1.747,-0.889,-0.074
-1.575,-1.686,-2.260,1.632,-0.922,-0.053
-1.360,-1.408,-2.088,1.507,-0.917,-0.017
-1.101,-1.192,-1.767,1.372,-0.893,0.021
-0.828,-0.958,-1.413,1.242,-0.830,0.062
-0.551,-0.699,-1.020,1.123,-0.753,0.103
-0.249,-0.469,-0.603,1.028,-0.668,0.137
0.053,-0.225,-0.268,0.958,-0.565,0.165
0.273,0.062,0.005,0.902,-0.458,0.193
0.474,0.378,0.220,0.851,-0.364,0.216
0.646,0.718,0.354,0.807,-0.288,0.234
0.833,1.058,0.460,0.753,-0.230,0.244
0.953,1.384,0.541,0.682,-0.186,0.249
1.082,1.690,0.709,0.595,-0.176,0.242
1.188,1.911,1.092,0.508,-0.184,0.233
1.274,2.025,1.590,0.441,-0.209,0.220
1.336,2.112,2.169,0.400,-0.233,0.209
1.331,2.198,2.768,0.377,-0.255,0.207
1.355,2.260,3.366,0.383,-0.270,0.222
1.470,2.399,3.816,0.414,-0.255,0.247
1.676,2.720,3.974,0.442,-0.212,0.266
1.939,3.117,3.903,0.443,-0.150,0.266
2.097,3.486,3.826,0.407,-0.092,0.237
2.116,3.697,3.869,0.343,-0.046,0.189
1.997,3.802,3.984,0.274,-0.014,0.136
1.911,3.912,4.161,0.205,0.016,0.084
1.815,4.051,4.295,0.138,0.040,0.034
1.709,4.180,4.424,0.065,0.053,-0.019
1.566,4.295,4.587,-0.017,0.057,-0.070
1.441,4.377,4.913,-0.096,0.060,-0.116
1.269,4.424,5.329,-0.171,0.070,-0.150
1.039,4.420,5.751,-0.233,0.082,-0.169
0.824,4.386,6.196,-0.277,0.088,-0.177
0.637,4.353,6.675,-0.302,0.094,-0.172
0.565,4.353,7.058,-0.314,0.112,-0.157
0.484,4.367,7.350,-0.317,0.140,-0.141
0.417,4.405,7.513,-0.319,0.154,-0.128
0.402,4.429,7.705,-0.335,0.148,-0.127
0.402,4.386,7.963,-0.357,0.146,-0.138
0.402,4.271,8.255,-0.378,0.148,-0.157
0.302,4.118,8.624,-0.391,0.165,-0.177
0.148,3.960,8.940,-0.390,0.184,-0.195
-0.053,3.836,9.175,-0.379,0.205,-0.213
-0.283,3.749,9.313,-0.361,0.217,-0.226
