aX,aY,aZ,gX,gY,gZ
17.837,-6.761,16.501,0.590,-0.547,-2.374
18.182,-7.183,16.836,0.618,-0.556,-2.709
18.435,-7.599,17.119,0.645,-0.506,-3.059
18.498,-8.159,17.329,0.663,-0.397,-3.438
18.086,-8.806,17.444,0.685,-0.256,-3.839
17.353,-9.500,17.435,0.739,-0.100,-4.237
16.276,-10.223,17.162,0.821,0.058,-4.366
14.772,-11.004,16.582,0.933,0.232,-4.366
13.326,-11.602,15.859,1.037,0.320,-4.366
11.856,-12.215,15.117,1.144,0.379,-4.366
10.223,-12.905,14.427,1.254,0.418,-4.366
8.562,-13.652,13.973,1.399,0.436,-4.366
7.077,-14.274,13.465,1.551,0.429,-4.366
5.191,-14.696,12.546,1.728,0.431,-4.366
3.395,-14.739,11.727,1.843,0.362,-4.366
1.508,-14.643,11.056,1.909,0.257,-4.366
-0.565,-14.466,10.563,1.937,0.138,-4.366
-2.614,-14.236,10.285,1.934,0.012,-4.366
-4.621,-14.001,10.132,1.918,-0.104,-4.366
-6.440,-13.728,10.065,1.898,-0.193,-4.366
-8.126,-13.431,9.912,1.878,-0.235,-4.366
-9.811,-13.096,9.562,1.850,-0.236,-4.366
-10.965,-12.819,9.117,1.825,-0.190,-4.366
-11.918,-12.349,8.456,1.782,-0.107,-4.366
-12.756,-11.679,7.666,1.706,-0.009,-4.366
-13.551,-10.946,6.962,1.595,0.075,-4.366
-14.289,-10.300,6.493,1.461,0.137,-4.366
-15.026,-9.878,6.254,1.330,0.171,-4.366
-15.797,-9.553,6.096,1.219,0.177,-4.366
-16.654,-9.146,5.962,1.098,0.159,-4.366
-17.286,-8.792,6.005,1.001,0.141,-4.366
-17.703,-8.523,6.220,0.923,0.150,-4.366
-17.933,-8.198,6.464,0.868,0.195,-4.366
-18.028,-7.772,6.574,0.834,0.250,-4.227
-18.100,-7.326,6.613,0.812,0.279,-3.992
-18.287,-6.905,6.656,0.801,0.274,-3.786
-18.502,-6.541,6.737,0.804,0.256,-3.583
-18.704,-6.182,6.838,0.822,0.251,-3.367
-18.847,-5.851,6.804,0.846,0.260,-3.130
-18.881,-5.468,6.613,0.866,0.277,-2.878
-18.809,-4.994,6.330,0.868,0.290,-2.625
-18.646,-4.496,6.014,0.839,0.306,-2.369
-18.373,-3.970,5.717,0.775,0.329,-2.073
-18.062,-3.591,5.492,0.707,0.341,-1.828
-17.741,-3.223,5.248,0.640,0.332,-1.597
-17.411,-2.801,5.042,0.573,0.312,-1.372
-17.037,-2.365,4.855,0.501,0.284,-1.148
-16.592,-1.954,4.865,0.425,0.255,-0.923
-16.084,-1.590,5.018,0.357,0.229,-0.693
-15.452,-1.264,5.258,0.311,0.212,-0.465
-14.648,-0.905,5.420,0.281,0.211,-0.247
-13.748,-0.579,5.420,0.258,0.213,-0.054
-12.804,-0.215,5.219,0.231,0.218,0.111
-11.899,0.187,4.865,0.185,0.223,0.252
-11.085,0.560,4.535,0.109,0.217,0.373
-10.343,0.781,4.367,0.008,0.201,0.487
-9.467,0.962,4.539,-0.114,0.163,0.610
-8.667,1.049,4.817,-0.208,0.132,0.702
-7.930,1.092,5.143,-0.296,0.112,0.776
-7.317,1.111,5.507,-0.380,0.104,0.827
-6.814,1.039,5.942,-0.465,0.103,0.864
-6.412,0.943,6.440,-0.545,0.112,0.889
-6.076,0.795,6.967,-0.617,0.129,0.907
-5.775,0.642,7.489,-0.679,0.146,0.918
-5.555,0.498,7.992,-0.727,0.156,0.918
-5.401,0.383,8.471,-0.764,0.157,0.911
-5.262,0.239,8.950,-0.792,0.159,0.908
-5.181,0.057,9.438,-0.809,0.164,0.911
-5.143,-0.163,10.036,-0.804,0.174,0.922
-5.095,-0.393,10.606,-0.770,0.184,0.941
-5.047,-0.555,11.004,-0.713,0.199,0.961
-4.990,-0.642,11.143,-0.648,0.215,0.974
-4.994,-0.670,11.080,-0.591,0.228,0.976
-5.071,-0.680,11.004,-0.547,0.224,0.976
-5.181,-0.694,10.898,-0.512,0.213,0.978
-5.248,-0.709,10.716,-0.486,0.197,0.982
-5.325,-0.690,10.530,-0.469,0.183,0.987
-5.444,-0.728,10.405,-0.460,0.174,1.001
-5.564,-0.776,10.262,-0.452,0.175,1.029
-5.674,-0.795,10.123,-0.446,0.179,1.072
-5.703,-0.828,9.965,-0.442,0.181,1.125
-5.727,-0.843,9.807,-0.438,0.183,1.182
-5.722,-0.828,9.610,-0.437,0.190,1.241
-5.737,-0.819,9.400,-0.445,0.197,1.302
-5.641,-0.800,9.203,-0.464,0.201,1.362
-5.502,-0.766,9.026,-0.491,0.201,1.416
-5.262,-0.728,8.906,-0.530,0.196,1.460
-4.994,-0.680,8.825,-0.577,0.196,1.496
-4.736,-0.670,8.811,-0.630,0.199,1.528
-4.539,-0.699,8.878,-0.681,0.199,1.551
-4.410,-0.766,9.017,-0.723,0.191,1.575
-4.338,-0.862,9.261,-0.748,0.185,1.590
-4.348,-0.972,9.409,-0.757,0.179,1.595
-4.429,-1.120,9.586,-0.750,0.168,1.600
-4.511,-1.274,9.811,-0.720,0.151,1.626
-4.520,-1.350,9.936,-0.675,0.133,1.657
-4.487,-1.379,9.960,-0.624,0.119,1.687
-4.482,-1.346,9.888,-0.592,0.107,1.712
-4.477,-1.298,9.754,-0.578,0.100,1.742
-4.372,-1.269,9.687,-0.580,0.098,1.777

17.727,-7.240,16.697,0.047,-0.685,-3.123
18.000,-8.073,17.741,0.188,-0.616,-3.442
17.952,-8.724,18.100,0.357,-0.452,-3.771
17.377,-9.395,18.019,0.538,-0.229,-4.163
16.549,-10.027,17.856,0.671,-0.042,-4.366
15.558,-10.788,17.760,0.796,0.129,-4.366
14.475,-11.588,17.569,0.923,0.284,-4.366
13.273,-12.421,17.305,1.053,0.396,-4.366
11.669,-13.551,17.123,1.245,0.469,-4.366
10.156,-14.518,16.822,1.454,0.517,-4.366
8.265,-15.107,16.209,1.752,0.536,-4.366
6.282,-15.467,15.198,1.926,0.531,-4.366
4.156,-15.749,14.198,2.083,0.498,-4.366
2.002,-15.931,13.101,2.225,0.422,-4.366
-0.081,-15.955,11.914,2.346,0.333,-4.366
-2.495,-15.663,10.353,2.446,0.223,-4.366
-4.630,-15.170,9.021,2.479,0.126,-4.366
-6.895,-14.686,7.872,2.460,0.013,-4.366
-9.117,-14.298,7.029,2.405,-0.090,-4.366
-11.272,-14.030,6.493,2.325,-0.136,-4.366
-13.374,-13.704,6.091,2.221,-0.110,-4.366
-15.347,-13.384,5.756,2.090,-0.031,-4.366
-17.104,-12.986,5.555,1.933,0.075,-4.366
-18.421,-12.522,5.526,1.753,0.174,-4.366
-19.316,-12.048,5.808,1.570,0.298,-4.366
-19.676,-11.396,6.249,1.425,0.415,-4.366
-19.699,-10.961,6.761,1.270,0.517,-4.366
-19.532,-10.530,7.321,1.183,0.636,-4.366
-19.393,-9.989,7.628,1.156,0.731,-4.162
-19.225,-9.337,7.681,1.163,0.779,-3.876
-19.082,-8.543,7.446,1.186,0.783,-3.620
-18.804,-7.542,6.919,1.213,0.719,-3.362
-18.598,-6.680,6.455,1.228,0.617,-3.180
-18.498,-5.871,6.062,1.235,0.499,-3.022
-18.450,-5.210,5.737,1.228,0.398,-2.865
-18.478,-4.650,5.468,1.206,0.331,-2.691
-18.545,-4.180,5.258,1.165,0.290,-2.488
-18.502,-3.764,5.085,1.109,0.272,-2.258
-18.268,-3.266,5.047,1.039,0.283,-2.005
-17.894,-2.863,5.013,0.964,0.326,-1.741
-17.382,-2.461,5.061,0.892,0.393,-1.483
-16.841,-2.073,5.167,0.837,0.465,-1.237
-16.295,-1.676,5.148,0.798,0.540,-1.005
-15.687,-1.197,4.913,0.759,0.613,-0.753
-15.170,-0.766,4.583,0.718,0.650,-0.549
-14.648,-0.359,4.247,0.663,0.655,-0.356
-14.044,-0.005,3.926,0.597,0.635,-0.173
-13.360,0.330,3.625,0.523,0.594,-0.003
-12.632,0.666,3.294,0.438,0.536,0.148
-11.823,0.986,3.036,0.338,0.469,0.277
-11.028,1.250,2.921,0.221,0.392,0.386
-10.276,1.460,2.940,0.094,0.317,0.475
-9.615,1.571,3.055,-0.036,0.254,0.555
-9.045,1.666,3.270,-0.169,0.203,0.628
-8.590,1.686,3.634,-0.304,0.154,0.697
-8.231,1.575,4.295,-0.424,0.112,0.773
-7.815,1.403,5.148,-0.511,0.096,0.865
-7.345,1.255,5.962,-0.564,0.111,0.965
-6.790,1.202,6.555,-0.599,0.146,1.059
-6.177,1.207,7.039,-0.632,0.185,1.132
-5.526,1.178,7.513,-0.663,0.228,1.167
-4.922,1.135,7.963,-0.685,0.273,1.163
-4.559,1.049,8.341,-0.696,0.311,1.130
-4.372,0.958,8.586,-0.699,0.333,1.088
-4.338,0.871,8.772,-0.703,0.335,1.047
-4.343,0.814,8.950,-0.711,0.315,1.013
-4.367,0.699,9.237,-0.721,0.279,0.987
-4.338,0.565,9.538,-0.721,0.245,0.967
-4.343,0.431,9.845,-0.708,0.217,0.948
-4.415,0.302,10.151,-0.685,0.198,0.930
-4.559,0.134,10.429,-0.650,0.184,0.919
-4.731,-0.010,10.635,-0.600,0.173,0.916
-4.903,-0.110,10.625,-0.542,0.166,0.916
-5.133,-0.168,10.487,-0.482,0.159,0.919
-5.430,-0.230,10.247,-0.429,0.143,0.925
-5.813,-0.287,9.792,-0.381,0.113,0.949
-6.096,-0.326,9.390,-0.360,0.083,0.988
-6.273,-0.330,8.988,-0.360,0.046,1.044
-6.235,-0.302,8.739,-0.380,0.017,1.107
-6.067,-0.302,8.547,-0.418,0.006,1.169
-5.832,-0.321,8.490,-0.468,0.018,1.224
-5.593,-0.340,8.562,-0.524,0.044,1.272
-5.368,-0.378,8.662,-0.577,0.084,1.306
-5.258,-0.412,8.768,-0.628,0.129,1.330
-5.234,-0.455,8.902,-0.677,0.170,1.355
-5.253,-0.464,9.036,-0.726,0.200,1.387
-5.243,-0.488,9.155,-0.770,0.216,1.424
-5.138,-0.541,9.395,-0.804,0.212,1.462
-4.970,-0.637,9.658,-0.817,0.195,1.497
-4.764,-0.709,9.893,-0.808,0.178,1.522
-4.583,-0.757,10.008,-0.786,0.165,1.540
-4.420,-0.733,10.013,-0.764,0.148,1.548
-4.310,-0.699,10.003,-0.747,0.122,1.547
-4.238,-0.699,10.022,-0.736,0.098,1.551
-4.185,-0.709,10.094,-0.728,0.076,1.564
-4.099,-0.752,10.257,-0.717,0.056,1.586
-3.898,-0.785,10.348,-0.702,0.051,1.603
-3.601,-0.747,10.415,-0.686,0.064,1.628
-3.342,-0.713,10.424,-0.671,0.089,1.628
-3.184,-0.690,10.467,-0.655,0.118,1.607

16.826,-8.212,15.912,0.720,0.017,-3.808
16.170,-9.424,16.597,0.764,0.133,-4.122
15.251,-10.539,17.176,0.853,0.270,-4.366
14.073,-11.598,17.602,0.960,0.416,-4.366
12.819,-12.574,17.779,1.091,0.564,-4.366
11.454,-13.436,17.727,1.226,0.703,-4.366
9.835,-14.456,17.511,1.405,0.814,-4.366
8.265,-15.198,17.104,1.596,0.866,-4.366
